date,open,high,low,close
2018/01/04,23073.73,23506.33,23065.2,23506.33
2018/01/05,23643.0,23730.47,23520.52,23714.53
2018/01/09,23948.97,23952.61,23789.03,23849.99
2018/01/10,23832.81,23864.76,23755.45,23788.2
2018/01/11,23656.39,23734.97,23601.84,23710.43
2018/01/12,23719.66,23743.05,23588.07,23653.82
2018/01/15,23827.98,23833.27,23685.02,23714.88
2018/01/16,23721.17,23962.07,23701.83,23951.81
2018/01/17,23783.42,23891.63,23739.17,23868.34
2018/01/18,24078.93,24084.42,23699.47,23763.37
2018/01/19,23854.11,23872.69,23735.61,23808.06
2018/01/22,23797.84,23816.33,23697.81,23816.33
2018/01/23,23924.4,24129.34,23916.02,24124.15
2018/01/24,24026.43,24072.77,23917.14,23940.78
2018/01/25,23750.65,23828.4,23649.03,23669.49
2018/01/26,23757.34,23797.96,23592.28,23631.88
2018/01/29,23707.14,23787.23,23580.17,23629.34
2018/01/30,23559.33,23581.98,23233.37,23291.97
2018/01/31,23205.23,23375.38,23092.85,23098.29
2018/02/01,23276.1,23492.77,23211.12,23486.11
2018/02/02,23361.67,23367.96,23122.45,23274.53
2018/02/05,22921.16,22967.69,22659.43,22682.08
2018/02/06,22267.0,22277.45,21078.71,21610.24
2018/02/07,22001.29,22353.87,21627.13,21645.37
2018/02/08,21721.57,21977.03,21649.7,21890.86
2018/02/09,21507.74,21510.3,21119.01,21382.62
2018/02/13,21633.34,21679.2,21211.53,21244.68
2018/02/14,21251.24,21371.01,20950.15,21154.17
2018/02/15,21384.1,21578.99,21308.92,21464.98
2018/02/16,21555.99,21866.37,21499.88,21720.25
2018/02/19,21903.66,22152.85,21858.33,22149.21
2018/02/20,22054.32,22063.87,21831.45,21925.1
2018/02/21,21942.42,22130.58,21836.73,21970.81
2018/02/22,21789.88,21799.4,21626.85,21736.44
2018/02/23,21789.72,21903.39,21741.63,21892.78
