code,date,open,high,low,close
998405.T,2015/01/05,1400.87,1410.26,1353.43,1380.58
998405.T,2015/01/13,1364.26,1379.9,1343.29,1363.73
998405.T,2015/01/19,1374.41,1404.1,1365.08,1403.22
998405.T,2015/01/26,1387.82,1433.35,1387.77,1415.07
998405.T,2015/02/02,1402.52,1424.9,1387.38,1417.19
998405.T,2015/02/09,1429.93,1455.26,1418.85,1449.38
998405.T,2015/02/16,1459.05,1501.16,1453.14,1500.33
998405.T,2015/02/23,1510.9,1529.2,1495.57,1523.85
998405.T,2015/03/02,1528.77,1540.85,1504.45,1540.84
998405.T,2015/03/09,1534.53,1566.03,1515.52,1560.33
998405.T,2015/03/16,1559.01,1585.84,1554.57,1580.51
998405.T,2015/03/23,1586.38,1594.71,1538.75,1552.78
998405.T,2015/03/30,1552.59,1578.93,1519.41,1564.16
998405.T,2015/04/06,1552.45,1596.81,1548.59,1589.54
998405.T,2015/04/13,1591.68,1599.42,1578.12,1588.69
998405.T,2015/04/20,1574.9,1633.81,1569.29,1618.84
998405.T,2015/04/27,1621.29,1630.53,1573.31,1585.61
998405.T,2015/05/07,1574.61,1592.59,1571.43,1587.76
998405.T,2015/05/11,1608.67,1612.43,1587.27,1607.11
998405.T,2015/05/18,1612.36,1656.05,1611.91,1647.85
998405.T,2015/05/25,1655.8,1680.39,1653.17,1673.65
998405.T,2015/06/01,1662.55,1683.19,1658.99,1667.06
998405.T,2015/06/08,1672.69,1673.16,1627.11,1651.48
998405.T,2015/06/15,1638.1,1653.19,1616.66,1631.01
998405.T,2015/06/22,1630.87,1686.61,1630.87,1667.03
998405.T,2015/06/29,1634.81,1656.56,1620.27,1652.09
998405.T,2015/07/06,1626.79,1645.1,1526.09,1583.55
998405.T,2015/07/13,1600.69,1663.49,1598.62,1662.94
998405.T,2015/07/21,1672.78,1674.27,1653.7,1655.86
998405.T,2015/07/27,1644.19,1659.52,1612.56,1659.52
998405.T,2015/08/03,1659.68,1688.07,1646.89,1679.19
998405.T,2015/08/10,1674.12,1702.83,1651.28,1664.46
998405.T,2015/08/17,1670.86,1678.1,1573.01,1573.01
998405.T,2015/08/24,1542.25,1555.85,1410.94,1549.8
998405.T,2015/08/31,1541.85,1544.98,1429.26,1444.53
998405.T,2015/09/07,1432.23,1507.37,1415.28,1480.23
998405.T,2015/09/14,1486.2,1494.53,1459.02,1462.38
998405.T,2015/09/24,1443.21,1453.92,1423.13,1453.81
998405.T,2015/09/28,1447.16,1454.27,1371.44,1444.92
998405.T,2015/10/05,1461.02,1515.13,1453.84,1515.13
998405.T,2015/10/13,1506.99,1514.96,1462.74,1505.84
998405.T,2015/10/19,1505.16,1553.69,1489.11,1547.84
998405.T,2015/10/26,1566.61,1570.06,1537.36,1558.2
998405.T,2015/11/02,1539.44,1566.1,1523.34,1563.59
998405.T,2015/11/09,1575.83,1598.9,1570.88,1585.83
998405.T,2015/11/16,1559.34,1609.76,1557.75,1603.18
998405.T,2015/11/24,1601.35,1608.13,1590.21,1594.45
998405.T,2015/11/30,1593.0,1607.27,1569.06,1574.02
998405.T,2015/12/07,1588.76,1594.56,1533.79,1549.51
998405.T,2015/12/14,1521.51,1596.36,1502.55,1537.1
998405.T,2015/12/21,1526.42,1547.13,1512.0,1516.19
998405.T,2015/12/28,1521.6,1554.45,1518.79,1547.3
998405.T,2016/01/04,1532.53,1544.73,1441.05,1447.32
998405.T,2016/01/12,1429.52,1443.01,1382.37,1402.45
998405.T,2016/01/18,1376.24,1395.18,1301.49,1374.19
998405.T,2016/01/25,1393.87,1435.31,1357.54,1432.07
998405.T,2016/02/01,1448.04,1463.79,1352.92,1368.97
998405.T,2016/02/08,1351.69,1388.73,1193.85,1196.28
998405.T,2016/02/15,1220.14,1322.28,1219.78,1291.82
998405.T,2016/02/22,1281.74,1330.23,1266.69,1311.27
998405.T,2016/02/29,1325.63,1376.25,1284.5,1375.35
998405.T,2016/03/07,1373.78,1373.85,1322.14,1359.32
998405.T,2016/03/14,1375.61,1384.35,1335.34,1345.05
998405.T,2016/03/22,1359.99,1378.25,1348.88,1366.05
998405.T,2016/03/28,1375.16,1381.85,1298.48,1301.4
998405.T,2016/04/04,1296.78,1313.96,1250.77,1287.69
998405.T,2016/04/11,1281.64,1371.35,1263.25,1361.4
998405.T,2016/04/18,1334.49,1407.99,1313.35,1407.5
998405.T,2016/04/25,1412.8,1412.98,1339.28,1340.55
998405.T,2016/05/02,1316.57,1316.61,1289.01,1298.32
998405.T,2016/05/09,1308.11,1353.03,1302.9,1320.19
998405.T,2016/05/16,1318.15,1352.57,1317.14,1343.4
998405.T,2016/05/23,1337.55,1357.47,1319.62,1349.93
998405.T,2016/05/30,1359.48,1380.88,1329.53,1337.23
998405.T,2016/06/06,1317.33,1350.97,1311.96,1330.72
998405.T,2016/06/13,1307.97,1308.57,1238.37,1250.83
998405.T,2016/06/20,1269.81,1309.08,1192.8,1204.48
998405.T,2016/06/27,1216.7,1264.4,1198.57,1254.44
998405.T,2016/07/04,1248.5,1263.5,1209.88,1209.88
998405.T,2016/07/11,1231.26,1325.64,1231.07,1317.1
998405.T,2016/07/19,1326.06,1347.24,1316.38,1327.51
998405.T,2016/07/25,1330.59,1339.06,1288.88,1322.74
998405.T,2016/08/01,1308.3,1325.24,1262.86,1279.9
998405.T,2016/08/08,1295.61,1325.57,1294.23,1323.22
998405.T,2016/08/15,1319.07,1322.99,1288.6,1295.67
998405.T,2016/08/22,1300.35,1310.57,1287.9,1287.9
