date,open,high,low,close,volume,adj.close,sma 5,sma 25,sma 50,stddev,-3s,-2s,+2s,+3s,RCI
2017-01-04,1054,1087,1054,1069,1063000,1069,1069.0,1069.0,1069.0,0.0,1069.0,1069.0,1069.0,1069.0,100.0
2017-01-05,1090,1141,1079,1115,1839000,1115,1092.0,1092.0,1092.0,32.5,994.4,1026.9,1157.1,1189.6,100.0
2017-01-06,1097,1103,1081,1085,827000,1085,1089.7,1089.7,1089.7,23.4,1019.6,1043.0,1136.4,1159.8,99.9
2017-01-10,1093,1093,1063,1071,599000,1071,1085.0,1085.0,1085.0,21.2,1021.3,1042.5,1127.5,1148.7,99.7
2017-01-11,1072,1079,1064,1068,399000,1068,1081.6,1081.6,1081.6,19.9,1021.9,1041.8,1121.4,1141.3,98.9
2017-01-12,1066,1068,1047,1058,472000,1058,1079.4,1077.7,1077.7,20.2,1017.0,1037.2,1118.2,1138.4,97.8
2017-01-13,1054,1066,1050,1064,350000,1064,1069.2,1075.7,1075.7,19.2,1018.2,1037.3,1114.1,1133.2,96.2
2017-01-16,1059,1063,1035,1040,288000,1040,1060.2,1071.2,1071.2,21.8,1005.8,1027.6,1114.8,1136.6,94.1
2017-01-17,1030,1037,1016,1019,408000,1019,1049.8,1065.4,1065.4,26.8,985.0,1011.8,1119.0,1145.8,91.3
2017-01-18,1003,1029,1003,1023,390000,1023,1040.8,1061.2,1061.2,28.6,975.3,1004.0,1118.4,1147.1,87.9
2017-01-19,1041,1055,1040,1045,478000,1045,1038.2,1059.7,1059.7,27.6,976.9,1004.5,1114.9,1142.5,84.2
2017-01-20,1045,1053,1033,1049,396000,1049,1035.2,1058.8,1058.8,26.5,979.3,1005.8,1111.8,1138.3,79.8
2017-01-23,1046,1054,1038,1047,249000,1047,1036.6,1057.9,1057.9,25.6,981.2,1006.8,1109.0,1134.6,74.9
2017-01-24,1040,1046,1038,1039,269000,1039,1040.6,1056.6,1056.6,25.1,981.4,1006.4,1106.8,1131.8,68.6
2017-01-25,1042,1084,1042,1074,698000,1074,1050.8,1057.7,1057.7,24.6,983.9,1008.5,1106.9,1131.5,66.7
2017-01-26,1088,1110,1087,1101,805000,1101,1062.0,1060.4,1060.4,26.1,982.1,1008.2,1112.6,1138.7,65.6
2017-01-27,1100,1118,1092,1099,494000,1099,1072.0,1062.7,1062.7,26.9,981.9,1008.8,1116.6,1143.5,64.4
2017-01-30,1094,1110,1085,1104,524000,1104,1083.4,1065.0,1065.0,27.9,981.3,1009.2,1120.8,1148.7,63.2
2017-01-31,1085,1092,1067,1074,590000,1074,1090.4,1065.5,1065.5,27.2,983.9,1011.1,1119.9,1147.1,59.8
2017-02-01,1064,1092,1061,1089,426000,1089,1093.4,1066.6,1066.6,27.0,985.7,1012.6,1120.6,1147.5,57.8
2017-02-06,1087,1091,1075,1087,267000,1087,1090.6,1067.6,1067.6,26.7,987.6,1014.3,1120.9,1147.6,55.3
2017-02-07,1073,1083,1061,1082,553000,1082,1087.2,1068.3,1068.3,26.2,989.7,1015.9,1120.7,1146.9,50.9
2017-02-08,1082,1095,1076,1083,486000,1083,1083.0,1068.9,1068.9,25.8,991.5,1017.3,1120.5,1146.3,46.0
2017-02-09,1087,1107,1078,1095,389000,1095,1087.2,1070.0,1070.0,25.8,992.7,1018.5,1121.5,1147.3,42.7
2017-02-10,1104,1123,1101,1121,476000,1121,1093.6,1072.0,1072.0,27.2,990.4,1017.6,1126.4,1153.6,42.7
2017-02-13,1133,1142,1108,1120,659000,1120,1100.2,1074.1,1073.9,28.8,987.6,1016.4,1131.8,1160.6,49.2
2017-02-14,1130,1150,1110,1133,906000,1133,1110.4,1074.8,1076.1,30.1,984.5,1014.6,1135.0,1165.1,68.6
2017-02-15,1158,1226,1150,1170,2543000,1170,1127.8,1078.2,1079.4,35.6,971.4,1007.0,1149.4,1185.0,78.8
2017-02-16,1190,1206,1179,1191,1200000,1191,1147.0,1083.0,1083.3,42.1,956.7,998.8,1167.2,1209.3,83.1
2017-02-17,1190,1196,1172,1194,703000,1194,1161.6,1088.0,1087.0,47.4,945.7,993.2,1182.8,1230.3,86.5
2017-02-20,1180,1180,1157,1159,658000,1159,1169.4,1092.1,1089.3,49.0,945.0,994.0,1190.2,1239.2,88.8
2017-02-21,1157,1167,1142,1156,696000,1156,1174.0,1095.8,1091.4,50.3,945.0,995.3,1196.3,1246.6,90.2
2017-02-22,1168,1180,1119,1130,1353000,1130,1166.0,1099.4,1092.5,49.3,951.4,1000.7,1198.1,1247.4,89.2
2017-02-23,1132,1140,1121,1127,543000,1127,1153.2,1103.7,1093.6,46.7,963.7,1010.4,1197.0,1243.7,87.1
2017-02-24,1120,1128,1108,1115,494000,1115,1137.4,1107.4,1094.2,43.5,976.8,1020.3,1194.5,1238.0,82.8
2017-02-27,1106,1107,1075,1081,793000,1081,1121.8,1108.8,1093.8,42.0,982.9,1024.9,1192.7,1234.7,68.2
2017-02-28,1085,1091,1064,1068,1115000,1068,1104.2,1109.6,1093.1,41.0,986.6,1027.6,1191.6,1232.6,49.0
2017-03-01,1075,1077,1047,1077,1155000,1077,1093.6,1110.8,1092.7,39.5,992.3,1031.8,1189.8,1229.3,31.2
2017-03-02,1098,1099,1082,1088,645000,1088,1085.8,1112.7,1092.6,36.9,1001.9,1038.8,1186.6,1223.5,15.8
2017-03-03,1065,1065,1021,1031,2037000,1031,1069.0,1111.0,1091.0,39.7,991.9,1031.6,1190.4,1230.1,-5.2
2017-03-09,991,1002,987,993,1095000,993,1051.4,1106.7,1088.6,46.2,968.1,1014.3,1199.1,1245.3,-17.2
2017-03-10,1004,1015,992,1015,1323000,1015,1040.8,1103.3,1086.9,49.7,954.2,1003.9,1202.7,1252.4,-28.2
2017-03-13,1006,1007,991,992,1172000,992,1023.8,1098.8,1084.7,54.4,935.5,989.9,1207.7,1262.1,-38.4
2017-03-14,995,1012,993,1010,571000,1010,1008.2,1096.3,1083.0,57.1,925.0,982.1,1210.5,1267.6,-52.8
2017-03-15,1003,1010,999,1005,1050000,1005,1003.0,1092.9,1081.2,59.9,913.1,973.0,1212.8,1272.7,-61.2
2017-03-16,1013,1033,1002,1024,1602000,1024,1009.2,1090.4,1080.0,61.5,905.9,967.4,1213.4,1274.9,-69.2
2017-03-17,1021,1035,1011,1022,1006000,1022,1010.6,1088.0,1078.8,63.0,899.0,962.0,1214.0,1277.0,-76.0
2017-03-21,1025,1025,997,1001,1075000,1001,1012.4,1084.7,1077.1,65.4,888.6,954.0,1215.4,1280.8,-82.3
2017-03-22,981,997,979,984,847000,984,1007.2,1080.3,1075.2,68.3,875.3,943.6,1217.0,1285.3,-87.4
2017-03-23,984,989,978,983,512000,983,1002.8,1074.8,1073.4,70.5,863.4,933.9,1215.7,1286.2,-90.8
2017-03-24,986,1008,978,1004,1007000,1004,998.8,1070.1,1072.1,71.2,856.6,927.8,1212.4,1283.6,-91.7
2017-03-27,998,1000,970,973,982000,973,989.0,1063.7,1069.3,72.5,846.3,918.8,1208.6,1281.1,-92.8
2017-03-28,981,990,978,983,474000,983,985.4,1056.2,1067.2,70.7,844.2,914.9,1197.5,1268.2,-93.0
2017-03-29,987,990,979,984,501000,984,985.4,1048.0,1065.5,66.2,849.4,915.6,1180.4,1246.6,-92.5
2017-03-30,982,984,960,965,857000,965,981.8,1038.8,1063.4,60.8,856.5,917.3,1160.3,1221.1,-92.5
2017-03-31,974,980,960,960,962000,960,973.0,1030.8,1061.5,57.3,858.9,916.2,1145.4,1202.7,-92.5
2017-04-03,968,968,941,947,1292300,947,967.8,1022.5,1059.1,53.4,862.3,915.7,1129.3,1182.7,-92.5
2017-04-04,953,955,918,932,1037400,932,957.6,1014.6,1057.0,51.4,860.3,911.7,1117.5,1168.9,-92.5
2017-04-05,935,948,927,944,640100,944,949.6,1007.2,1055.5,47.6,864.3,911.9,1102.5,1150.1,-92.5
2017-04-06,929,961,925,932,938600,932,943.0,999.9,1053.6,44.3,866.9,911.2,1088.6,1132.9,-92.5
2017-04-07,932,943,916,938,705200,938,938.6,994.2,1051.5,42.6,866.3,908.9,1079.5,1122.1,-92.4
2017-04-10,938,944,922,942,748800,942,937.6,989.2,1049.4,41.0,866.3,907.3,1071.1,1112.1,-92.1
2017-04-11,935,940,922,923,500500,923,935.8,983.0,1046.9,38.7,866.8,905.5,1060.5,1099.2,-92.2
2017-04-12,905,917,884,889,1232300,889,924.8,975.0,1043.9,36.6,865.1,901.7,1048.3,1084.9,-92.2
2017-04-13,868,887,868,883,1144400,883,915.0,969.1,1040.1,39.1,851.8,890.9,1047.3,1086.4,-92.2
2017-04-14,876,894,872,883,728600,883,904.0,964.7,1035.7,42.4,837.6,880.0,1049.4,1091.8,-94.9
2017-04-17,876,897,876,893,575200,893,894.2,959.8,1031.6,43.3,829.8,873.1,1046.5,1089.8,-95.2
2017-04-18,908,922,897,903,391400,903,890.2,956.3,1027.6,44.2,823.6,867.8,1044.8,1089.0,-96.2
2017-04-19,900,919,900,908,478600,908,894.0,952.2,1024.2,43.8,820.9,864.7,1039.7,1083.5,-95.4
